id,Stars_name,Distance,Mass,Radius,luminosity
203,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
204,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
205,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
206,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
207,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
208,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
209,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
210,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
211,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
212,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
213,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
214,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
215,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
216,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
217,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
218,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
219,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
220,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
221,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
222,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
223,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
224,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
225,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
226,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
227,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
228,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
229,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
230,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
231,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
232,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
233,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
234,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
235,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
236,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
237,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
238,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
239,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
240,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
241,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
242,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
243,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
244,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
245,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
246,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
247,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
248,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
249,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
250,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
251,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
252,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
253,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
254,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
255,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
256,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
257,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
258,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
259,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
260,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
261,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
262,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
263,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
264,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
265,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
266,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
267,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
268,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
269,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
